iter	Passed	Remaining
0	2	570
1	5	563
2	9	618
3	12	605
4	15	585
5	17	572
6	20	564
7	22	550
8	26	553
9	29	556
10	32	553
11	35	549
12	37	544
13	40	538
14	43	538
15	46	532
16	49	527
17	51	524
18	54	520
19	57	516
20	60	512
21	62	509
22	65	505
23	68	502
24	71	498
25	74	496
26	76	491
27	79	487
28	82	485
29	85	484
30	89	485
31	92	486
32	95	485
33	99	483
34	102	482
35	105	480
36	108	479
37	111	475
38	114	472
39	117	468
40	120	465
41	123	464
42	126	460
43	128	456
44	131	454
45	135	452
46	138	451
47	142	450
48	145	448
49	148	446
50	152	445
51	155	442
52	158	439
53	161	436
54	164	432
55	166	429
56	169	426
57	173	423
58	175	420
59	179	417
60	181	414
61	184	410
62	188	409
63	191	406
64	194	403
65	197	400
66	200	397
67	203	395
68	206	391
69	209	388
70	212	385
71	214	382
72	217	378
73	220	376
74	223	372
75	226	369
76	229	366
77	232	363
78	235	360
79	238	357
80	240	353
81	243	350
82	246	347
83	248	343
84	251	340
85	254	336
86	256	333
87	259	330
88	262	327
89	265	324
90	268	321
91	271	318
92	274	315
93	277	312
94	280	309
95	282	306
96	285	303
97	288	300
98	291	297
99	294	294
100	297	291
101	299	288
102	302	285
103	305	281
104	308	279
105	311	276
106	314	273
107	317	270
108	320	267
109	322	263
110	325	260
111	327	257
112	330	254
113	334	252
114	337	249
115	339	246
116	342	242
117	345	239
118	348	236
119	350	233
120	353	230
121	356	227
122	359	224
123	361	221
124	364	218
125	367	215
126	369	212
127	372	209
128	375	206
129	378	203
130	381	200
131	384	198
132	387	195
133	389	191
134	392	188
135	394	185
136	397	182
137	399	179
138	401	176
139	404	173
140	408	170
141	410	167
142	413	164
143	415	161
144	418	158
145	420	155
146	423	152
147	426	149
148	429	147
149	434	144
150	437	141
151	440	139
152	443	136
153	447	133
154	449	130
155	453	127
156	456	125
157	460	122
158	463	119
159	466	116
160	469	113
161	473	111
162	477	108
163	481	105
164	484	102
165	487	99
166	490	97
167	494	94
168	497	91
169	500	88
170	504	85
171	507	82
172	512	79
173	516	77
174	519	74
175	522	71
176	526	68
177	530	65
178	534	62
179	538	59
180	542	56
181	545	53
182	548	50
183	552	48
184	555	45
185	559	42
186	563	39
187	566	36
188	570	33
189	574	30
190	577	27
191	581	24
192	585	21
193	588	18
194	592	15
195	596	12
196	599	9
197	603	6
198	607	3
199	610	0
